"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"cardly-automation","Automate Cardly tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/cardly-automation/SKILL.md"
"castingwords-automation","Automate Castingwords tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/castingwords-automation/SKILL.md"
"cats-automation","Automate Cats tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/cats-automation/SKILL.md"
"cdr-platform-automation","Automate Cdr Platform tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/cdr-platform-automation/SKILL.md"
"census-bureau-automation","Automate Census Bureau tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/census-bureau-automation/SKILL.md"
"centralstationcrm-automation","Automate Centralstationcrm tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/centralstationcrm-automation/SKILL.md"
"certifier-automation","Automate Certifier tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/certifier-automation/SKILL.md"
"changelog-generator","Automatically creates user-facing changelogs from git commits by analyzing commit history, categorizing changes, and transforming technical commits into clear, customer-friendly release notes. Turns hours of manual changelog writing into minutes of automated generation.","No direct fit","No direct core-pipeline use. If you adopt changelog-generator operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/changelog-generator/SKILL.md"
"chaser-automation","Automate Chaser tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/chaser-automation/SKILL.md"
"chatbotkit-automation","Automate Chatbotkit tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/chatbotkit-automation/SKILL.md"
